epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,577.953,0.89043,1.17683,1.03722,0.83663,0.73754,0.89817,0.68627,0.82806,1.17426,1.01468,0.000726038,0.000726038,0.000726038
72,586.879,0.80424,1.18882,1.0033,0.83663,0.73754,0.89817,0.68627,0.82806,1.17426,1.01468,0.000720539,0.000720539,0.000720539
73,596.651,0.90893,1.29175,1.05288,0.83663,0.73754,0.89817,0.68627,0.82806,1.17426,1.01468,0.00071504,0.00071504,0.00071504
74,605.448,0.86845,1.21639,1.05576,0.83505,0.77771,0.89666,0.66008,0.88477,1.20972,1.02494,0.00070954,0.00070954,0.00070954
75,614.225,0.88906,1.17301,1.03921,0.83505,0.77771,0.89666,0.66008,0.88477,1.20972,1.02494,0.000704041,0.000704041,0.000704041
76,621.967,0.90668,1.22917,1.13829,0.83505,0.77771,0.89666,0.66008,0.88477,1.20972,1.02494,0.000698541,0.000698541,0.000698541
77,629.67,0.90335,1.17769,1.14176,0.83505,0.77771,0.89666,0.66008,0.88477,1.20972,1.02494,0.000693042,0.000693042,0.000693042
78,637.953,0.88727,1.20287,1.01588,0.78308,0.80167,0.86271,0.64289,0.84868,1.22517,1.00662,0.000687542,0.000687542,0.000687542
79,645.883,0.95662,1.18803,1.08105,0.78308,0.80167,0.86271,0.64289,0.84868,1.22517,1.00662,0.000682043,0.000682043,0.000682043
80,654.207,1.00064,1.2837,1.096,0.78308,0.80167,0.86271,0.64289,0.84868,1.22517,1.00662,0.000676543,0.000676543,0.000676543
81,662.526,0.88165,1.14668,1.02996,0.78308,0.80167,0.86271,0.64289,0.84868,1.22517,1.00662,0.000671044,0.000671044,0.000671044
82,671.496,0.99959,1.37485,1.12625,0.81795,0.80445,0.89898,0.69012,0.77967,1.12875,0.98112,0.000665545,0.000665545,0.000665545
83,679.375,0.91139,1.14695,1.03531,0.81795,0.80445,0.89898,0.69012,0.77967,1.12875,0.98112,0.000660045,0.000660045,0.000660045
84,687.654,0.9319,1.1269,1.01652,0.81795,0.80445,0.89898,0.69012,0.77967,1.12875,0.98112,0.000654546,0.000654546,0.000654546
85,696.3,0.85579,1.1256,1.03639,0.81795,0.80445,0.89898,0.69012,0.77967,1.12875,0.98112,0.000649046,0.000649046,0.000649046
86,707.807,0.77961,1.11302,0.99189,0.81803,0.86979,0.92589,0.72831,0.77113,1.06438,0.98303,0.000643547,0.000643547,0.000643547
87,721.403,0.95404,1.23281,1.0164,0.81803,0.86979,0.92589,0.72831,0.77113,1.06438,0.98303,0.000638047,0.000638047,0.000638047
88,730.462,0.91072,1.18201,1.04268,0.81803,0.86979,0.92589,0.72831,0.77113,1.06438,0.98303,0.000632548,0.000632548,0.000632548
89,741.076,0.838,1.33052,1.05113,0.81803,0.86979,0.92589,0.72831,0.77113,1.06438,0.98303,0.000627048,0.000627048,0.000627048
90,754.186,0.8877,1.13174,1.06477,0.83532,0.88174,0.93732,0.74382,0.76156,1.03835,0.97962,0.000621549,0.000621549,0.000621549
91,763.209,0.85528,1.0991,1.12385,0.83532,0.88174,0.93732,0.74382,0.76156,1.03835,0.97962,0.000616049,0.000616049,0.000616049
92,770.625,0.77314,0.99991,1.01569,0.83532,0.88174,0.93732,0.74382,0.76156,1.03835,0.97962,0.00061055,0.00061055,0.00061055
93,780.093,0.79356,1.08302,1.00866,0.83532,0.88174,0.93732,0.74382,0.76156,1.03835,0.97962,0.000605051,0.000605051,0.000605051
94,790.008,0.89274,1.08481,1.05764,0.83518,0.88278,0.93344,0.73316,0.76068,1.02113,0.97656,0.000599551,0.000599551,0.000599551
